learning_target,annotated_exposures,modules_used,first_module_sequence,first_module_id
a,141,38,17,module-8
a menudo,5,1,10,module-38
abierto,3,1,37,module-12
abogado,3,1,58,module-39
abra,3,3,46,module-16
abran,2,2,46,module-16
abras,6,5,50,module-17
abraza,4,1,10,module-38
abre,4,3,46,module-16
abrí,6,3,40,module-13
abrid,2,2,46,module-16
abrir,3,3,26,module-9
abro,4,3,12,module-6
abuela,13,4,36,story-3
abuelo,6,1,10,module-38
acaba,4,2,47,module-23
acaba de,2,1,66,story-6
acabamos,4,2,47,module-23
acabas,5,1,47,module-23
acabo,22,2,47,module-23
actualiza,6,1,59,module-37
acuesto,3,2,16,module-7
adiós,2,2,1,module-1
agua,13,10,12,module-6
ahí,4,2,69,module-34
ahora,26,16,2,module-2
aire,7,3,68,module-27
ajedrez,5,1,21,module-42
algún,2,2,30,module-32
almuerzo,6,1,58,module-39
amable,4,4,54,module-20
amiga,8,6,41,module-14
amigo,34,10,7,story-1
amigos,16,8,1,module-1
animal,2,1,6,module-ser-vs-estar
anoche,8,5,33,module-10
antes,25,13,5,module-hay-vs-esta
antivirus,5,1,59,module-37
años,15,8,8,module-4
apetece,2,1,18,module-gustar-family
aplicación,5,1,59,module-37
aprende,8,2,21,module-42
aprender,3,3,15,module-stem-changing
aprendes,2,2,49,module-21
árboles,2,1,60,module-33
artista,3,1,21,module-42
asustado,9,2,61,module-43
ayuda,4,4,44,module-por-vs-para
azul,2,2,68,module-27
baile,2,1,21,module-42
baño,4,2,22,module-41
bebe,4,3,12,module-6
beber,3,3,26,module-9
bebes,2,2,12,module-6
bebí,2,2,33,module-10
bebía,2,2,34,module-11
bebo,2,1,12,module-6
borra,6,1,59,module-37
bosque,4,3,44,module-por-vs-para
buen,6,6,32,module-verb-hacer
buena,2,2,5,module-hay-vs-esta
buenas,4,3,1,module-1
buenos,3,3,1,module-1
busca,11,4,11,module-5
buscado,5,2,37,module-12
buscando,4,2,48,module-24
busco,7,4,40,module-13
busqué,2,1,33,module-10
cabeza,3,3,30,module-32
cada,9,9,49,module-21
café,64,24,2,module-2
calle,5,5,2,module-2
calma,3,3,54,module-20
calor,3,3,32,module-verb-hacer
cambia,7,2,23,module-40
camisa,5,1,23,module-40
canción,3,3,31,module-saber-vs-conocer
candil,2,1,69,module-34
carta,20,11,5,module-hay-vs-esta
casa,95,38,2,module-2
cenar,4,4,15,module-stem-changing
centro,27,18,2,module-2
centro comercial,3,2,23,module-40
cerca,10,6,2,module-2
chaqueta,6,2,23,module-40
chica,4,1,59,module-37
cierres,3,3,51,module-18
cine,4,4,25,module-ir-y-venir
cita,2,1,30,module-32
ciudad,9,7,12,module-6
clase,5,3,20,module-ser-vs-estar-3
cliente,9,3,23,module-40
coche,21,14,8,module-4
cocina,15,3,22,module-41
cola,2,2,29,module-29
coma,4,3,46,module-16
comas,3,3,51,module-18
come,5,4,12,module-6
comemos,5,5,12,module-6
comer,9,5,26,module-9
comes,2,2,12,module-6
comí,6,5,33,module-10
comía,2,1,34,module-11
comido,6,3,37,module-12
comimos,3,2,33,module-10
compañero,3,1,22,module-41
compra,13,5,11,module-5
comprado,6,2,37,module-12
comprar,13,6,26,module-9
compraras,4,1,64,module-22
compras,7,3,49,module-21
compraste,3,2,40,module-13
compré,9,4,33,module-10
compres,3,3,53,module-19
compro,5,2,40,module-13
concierto,3,2,20,module-ser-vs-estar-3
conmigo,4,4,53,module-19
conoce,2,1,31,module-saber-vs-conocer
conocer,2,2,31,module-saber-vs-conocer
conoces,2,1,31,module-saber-vs-conocer
conozco,5,1,31,module-saber-vs-conocer
contrato,10,2,58,module-39
correo,6,4,38,module-preterite-vs-present-perfect
costa,2,2,32,module-verb-hacer
creo,2,2,27,module-35
cuando,16,7,35,module-past-comparison
cuántos,3,3,9,module-verb-tener
cuenta,5,4,24,module-31
cuidado,5,2,22,module-41
cuñado,6,1,10,module-38
dado,3,2,42,module-15
damos,6,2,41,module-14
dar,5,3,42,module-15
darle,4,3,47,module-23
das,6,3,41,module-14
de,101,28,70,module-36
debemos,2,1,60,module-33
deberes,2,2,63,module-28
decidió,2,2,67,module-26
del,20,11,69,module-34
des,10,4,50,module-17
descarga,2,1,59,module-37
descuento,4,1,23,module-40
después,8,7,33,module-10
di,2,1,42,module-15
día,10,8,48,module-24
días,16,9,1,module-1
dices,4,3,41,module-14
diez,10,7,9,module-verb-tener
difíciles,2,2,14,module-ser-vs-estar-2
digas,12,6,50,module-17
digo,2,1,41,module-14
dijeras,2,1,64,module-22
dime,3,2,46,module-16
dinero,18,12,8,module-4
disfruta,5,1,21,module-42
doctora,11,3,58,module-39
documentos,5,1,58,module-39
domingos,5,5,21,module-42
dorada,2,1,69,module-34
dormir,3,3,67,module-26
dos,17,10,8,module-4
doy,24,3,41,module-14
ducho,5,2,16,module-7
dudaba,2,1,63,module-28
duele,4,3,18,module-gustar-family
el,202,47,42,module-15
email,2,1,57,module-30
embarque,2,1,29,module-29
empezó,2,1,35,module-past-comparison
empresa,3,2,66,story-6
en,161,45,8,module-4
encanta,4,3,18,module-gustar-family
encuentro,2,2,40,module-13
enfermo,5,2,6,module-ser-vs-estar
ensalada,3,2,24,module-31
entrevista,4,3,56,story-5
era,10,5,34,module-11
eres,15,6,1,module-1
es,129,14,1,module-1
escribe,7,3,58,module-39
escribí,2,2,41,module-14
escribiendo,2,1,40,module-13
escribo,5,3,41,module-14
escrito,6,4,37,module-12
escuchaba,3,1,34,module-11
escuchando,3,2,14,module-ser-vs-estar-2
escuchar,5,4,17,module-8
escuches,5,4,51,module-18
escuela,18,9,2,module-2
esfuerzo,7,1,22,module-41
eso,7,3,50,module-17
español,26,14,11,module-5
espera,3,2,11,module-5
esperaba,2,2,34,module-11
esperando,6,2,48,module-24
esperar,3,3,15,module-stem-changing
esperas,2,2,53,module-19
espere,2,2,50,module-17
esperé,2,1,33,module-10
esperes,2,2,51,module-18
espero,38,7,32,module-verb-hacer
está,91,23,2,module-2
estaba,8,4,34,module-11
estabas,2,2,34,module-11
estado,3,2,38,module-preterite-vs-present-perfect
estáis,2,2,2,module-2
estamos,14,6,2,module-2
están,26,6,2,module-2
estaría,2,1,64,module-22
estás,20,11,2,module-2
estés,9,5,53,module-19
esto,4,3,44,module-por-vs-para
estoy,41,9,2,module-2
estudia,10,4,11,module-5
estudiaba,5,1,34,module-11
estudiado,6,1,37,module-12
estudiamos,2,2,44,module-por-vs-para
estudiando,7,3,48,module-24
estudiante,18,6,1,module-1
estudiantes,9,4,1,module-1
estudiar,9,4,17,module-8
estudias,2,2,11,module-5
estudié,2,1,33,module-10
estudies,3,3,51,module-18
estudio,3,2,11,module-5
estuvieras,3,2,64,module-22
examen,4,3,44,module-por-vs-para
explico,2,1,42,module-15
fácil,2,2,44,module-por-vs-para
familia,9,3,10,module-38
farmacia,3,2,30,module-32
favor,9,5,24,module-31
feliz,5,4,53,module-19
fiebre,2,1,30,module-32
fiesta,15,8,20,module-ser-vs-estar-3
fines de semana,13,3,10,module-38
fotografía,5,1,21,module-42
fotos,3,2,17,module-8
francés,2,2,15,module-stem-changing
